XBeeAPIReceiver - 2025-04-23 12:08:41,672 - INFO - XBee API mode receiver initialized
digi.xbee.devices - 2025-04-23 12:08:41,699 - INFO - XBeeSerialPort 'COM4' port opened
digi.xbee.sender - 2025-04-23 12:08:41,700 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 09 01 41 50 64
digi.xbee.reader - 2025-04-23 12:08:41,721 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 06 88 01 41 50 00 01 E4
digi.xbee.sender - 2025-04-23 12:08:41,722 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 09 02 48 56 56
digi.xbee.reader - 2025-04-23 12:08:41,768 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 07 88 02 48 56 00 41 55 41
digi.xbee.sender - 2025-04-23 12:08:41,769 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 09 03 56 52 4B
digi.xbee.reader - 2025-04-23 12:08:41,800 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 07 88 03 56 52 00 10 13 A9
digi.xbee.sender - 2025-04-23 12:08:41,801 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 09 04 53 48 57
digi.xbee.reader - 2025-04-23 12:08:41,832 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 09 88 04 53 48 00 00 13 A2 00 23
digi.xbee.sender - 2025-04-23 12:08:41,833 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 09 05 53 4C 52
digi.xbee.reader - 2025-04-23 12:08:41,864 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 09 88 05 53 4C 00 42 01 09 17 70
digi.xbee.sender - 2025-04-23 12:08:41,865 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 09 06 4E 49 59
digi.xbee.reader - 2025-04-23 12:08:41,896 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 0E 88 06 4E 49 00 58 42 45 45 5F 53 49 4E 4B 22
digi.xbee.sender - 2025-04-23 12:08:41,897 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 09 07 4D 59 49
digi.xbee.reader - 2025-04-23 12:08:41,928 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 07 88 07 4D 59 00 00 00 CA
digi.xbee.sender - 2025-04-23 12:08:41,929 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 09 08 43 45 66
digi.xbee.reader - 2025-04-23 12:08:41,960 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 06 88 08 43 45 00 01 E6
digi.xbee.sender - 2025-04-23 12:08:41,961 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 08 09 41 50 5D
digi.xbee.reader - 2025-04-23 12:08:41,992 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 06 88 09 41 50 00 01 DC
digi.xbee.sender - 2025-04-23 12:08:41,992 - DEBUG - XBeeSerialPort 'COM4' - SENT - OperatingMode.API_MODE: 7E 00 04 08 0A 41 4F 5D
digi.xbee.reader - 2025-04-23 12:08:42,024 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 06 88 0A 41 4F 00 00 DD
digi.xbee.reader - 2025-04-23 12:08:43,845 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 30 90 00 13 A2 00 42 01 09 19 FA E1 01 44 41 54 41 3A 54 45 4D 50 3A 32 34 2E 39 30 2C 48 55 4D 3A 33 35 2E 35 30 2C 50 50 4D 3A 33 39 32 2E 31 37 E6
digi.xbee.reader - 2025-04-23 12:08:43,845 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - DATA: 0013A20042010919 - 44 41 54 41 3A 54 45 4D 50 3A 32 34 2E 39 30 2C 48 55 4D 3A 33 35 2E 35 30 2C 50 50 4D 3A 33 39 32 2E 31 37
XBeeAPIReceiver - 2025-04-23 12:08:43,845 - INFO - Received data from 0013A20042010919: Temp=24.9°C, Humidity=35.5%, PPM=392.17
digi.xbee.reader - 2025-04-23 12:08:47,375 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - OperatingMode.API_MODE: 7E 00 30 90 00 13 A2 00 42 01 09 19 FA E1 01 44 41 54 41 3A 54 45 4D 50 3A 32 34 2E 39 30 2C 48 55 4D 3A 33 35 2E 34 30 2C 50 50 4D 3A 33 39 33 2E 36 34 E4
digi.xbee.reader - 2025-04-23 12:08:47,375 - DEBUG - XBeeSerialPort 'COM4' - RECEIVED - DATA: 0013A20042010919 - 44 41 54 41 3A 54 45 4D 50 3A 32 34 2E 39 30 2C 48 55 4D 3A 33 35 2E 34 30 2C 50 50 4D 3A 33 39 33 2E 36 34
XBeeAPIReceiver - 2025-04-23 12:08:47,375 - INFO - Received data from 0013A20042010919: Temp=24.9°C, Humidity=35.4%, PPM=393.64
digi.xbee.devices - 2025-04-23 12:08:49,492 - INFO - XBeeSerialPort 'COM4' closed
